Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort;Bron foto
1;europese hopbeuk;Ostrya carpinifolia;Ostrya carpinifolia, of Europese hopbeuk, is een middelgrote loofboom met geribbelde bladeren en hopachtige vruchtkatjes. Hij groeit van nature in Zuid- en Midden-Europa en West-Azië.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/ostrya_carpinifolia_1-1.jpg;ostrya_carpinifolia_1-1.jpg;
2;hartbladige els;Alnus cordata;Alnus cordata, of Hartbladige els, is een middelgrote loofboom met hartvormige bladeren en een smalle, piramidale kroon. De plant groeit van nature in Zuid-Italië en Corsica, vaak in vochtige, goed doorlatende bodems. Kenmerkend zijn de glanzende, donkergroene bladeren en het vermogen om stikstof in de bodem te binden, wat de boom geschikt maakt voor bodembescherming en herstelprojecten. De Italiaanse els wordt vaak aangeplant als sierboom en windbreker.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/s468003859194629765_p195_i4_w640.jpeg;s468003859194629765_p195_i4_w640.jpeg;
3;zwarte els;Alnus glutinosa;Alnus glutinosa, of zwarte els, is een middelgrote loofboom met ronde, getande bladeren en een brede, open kroon. De plant groeit van nature in Europa en West-Azië, vaak langs rivieroevers en in vochtige gebieden. Kenmerkend zijn de elzenproppen (houtige vruchten) en het vermogen om stikstof in de bodem te binden, wat hem nuttig maakt voor bodemverbetering. De zwarte els speelt een belangrijke rol in ecosysteemherstel en wordt vaak aangeplant in moerassen en langs waterwegen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/20120619231301-1f748751.jpg;20120619231301-1f748751.jpg;
4;witte of grauwe els;Alnus incana;Alnus incana, of witte els, is een middelgrote loofboom met ovale, getande bladeren en een smalle kroon. De plant groeit van nature in Noord- en Centraal-Europa, Noord-Amerika en delen van Azië, vaak langs rivieren en op vochtige gronden. Kenmerkend zijn de grijsgroene schors, de elzenproppen en het vermogen om stikstof in de bodem te binden, wat nuttig is voor bodembescherming en herstelprojecten. Witte els wordt vaak gebruikt in ecologische aanplantingen en voor het verbeteren van de bodemstructuur.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Alnus_incana_rugosa_leaves.jpg;Alnus_incana_rugosa_leaves.jpg;
5;haagbeuk;Carpinus betulus;Carpinus betulus, of haagbeuk, is een loofboom met eironde, dubbelgezaagde bladeren. Hij groeit van nature in Europa en West-Azië en wordt vaak gebruikt als haagplant vanwege zijn dichte bladstructuur en goede snoeibaarheid.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/carpinus-betulus-92290.jpg;carpinus-betulus-92290.jpg;
6;ruwe berk;Betula pendula;Betula pendula, of ruwe berk, is een middelgrote loofboom met een opvallende witte, afbladderende schors en driehoekige, getande bladeren. De plant groeit van nature in Europa en delen van Azië, vaak op lichte, goed doorlatende gronden en in gemengde bossen. Kenmerkend zijn de hangende takken, waardoor de boom een sierlijke uitstraling krijgt. De ruwe berk is populair in parken en tuinen en wordt vaak gebruikt als pioniersplant vanwege zijn vermogen om arme gronden te koloniseren.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/betula_pendula_6.jpg;betula_pendula_6.jpg;
7;zachte berk;Betula pubescens;Betula pubescens, of zachte berk, is een middelgrote loofboom met ronde tot ovale bladeren en een witte, vaak minder afbladderende schors dan de ruwe berk. De plant groeit van nature in Noord- en Centraal-Europa en Noord-Azië, meestal in vochtige bossen, moerassen en natte gronden. Kenmerkend zijn de iets behaarde jonge twijgen en bladeren, wat hem onderscheidt van de ruwe berk. De zachte berk speelt een belangrijke rol in ecologische systemen door zijn tolerantie voor natte omstandigheden en zijn vermogen om veengebieden te koloniseren.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1.Betula_pubescens_leaves.jpg;1.Betula_pubescens_leaves.jpg;
8;hazelaar;Corylus avellana;Bladschijf: Omgekeerd eirond;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Corylus_avellana.jpg;Corylus_avellana.jpg;
9;els;Alnus;Bladschijf: Cirkelrond (lengte = breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/beeld_75_large.jpg;beeld_75_large.jpg;
10;els;Alnus;Eenhuizig: Mannelijke en vrouwelijke voortplantingsorgainen op dezelfde plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bloemen/Fruchtstand_der_Schwarzerle,_Alnus_glutinosa_2.JPG;Fruchtstand_der_Schwarzerle,_Alnus_glutinosa_2.JPG;
11;hazelaar;Corylus;Eenhuizig: Mannelijke en vrouwelijke voortplantingsorgainen op dezelfde plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bloemen/Corylus_avellana_Contorta03.jpg;Corylus_avellana_Contorta03.jpg;
