Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
1;Els;Alnus;Bladschijf: Cirkelrond (lengte = breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/beeld_75_large.jpg;beeld_75_large.jpg
2;Olm;Ulmus;Bladschijf: Ovaal of elliptisch (lengte = 1,5 a 2x de breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/ab607e322c4f4ca7adfb40b53cbc8ebf.jpg;ab607e322c4f4ca7adfb40b53cbc8ebf.jpg
3;Rubberplant;Ficus elastica;Bladschijf: Langwerpig (lengte = 3x de braadte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Ficus-Elastica-Robusta-O21cm-↕90cm-hoogte-2.jpeg;Ficus-Elastica-Robusta-O21cm-↕90cm-hoogte-2.jpeg
4;Laurierwilg;Salix;Bladschijf: Lancetvormig (lengte = 4 a 5x de breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/bay-willow-leaves-branch-102336-nature-photographers-ltd.jpg;bay-willow-leaves-branch-102336-nature-photographers-ltd.jpg
5;Schietwilg;Salix alba;Bladschijf: Lijnlancetvormig (lengte = 5 a 10x de breedte);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/7ee6a7bca92548bbaa473ccffa3809a7.jpg;7ee6a7bca92548bbaa473ccffa3809a7.jpg
6;Oost-indische kers;Tropaeolum;Bladschijf: Schildvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/tropaeolum_majus_oost_indische_kers.jpg;tropaeolum_majus_oost_indische_kers.jpg
7;Sering;Syringa;Bladschijf: Eirond;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/blad2-g.jpg;blad2-g.jpg
8;Zwarte populier;Populus nigra;Bladschijf: Ruitvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/PONIGRA-175200CONT-3.jpg;PONIGRA-175200CONT-3.jpg
9;Winterlinde;Tilia cordata;Bladschijf: Hartvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/tiliacordata.jpeg;tiliacordata.jpeg
10;Pijlkruid;Sagittaria sagittifolia;Bladschijf: Pijlvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/48125_04.jpg;48125_04.jpg
