Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
1;dropplant ;Agastache foeniculum ;;;
2;gewone ui;Allium cepa ;;;
3;egyptische ui ;Allium cepa var. proliferum ;;;
4;look ;Allium sativum ;;;
5;bieslook ;Allium schoenoprasum ;;;
6;slangelook ;Allium scorodoprasum ;;;
7;chinese bieslook ;Allium tuberosum ;;;
8;daslook ;Allium ursinum ;;;
9;citroenverbena ;Aloysia triphylla ;;;
10;dille ;Anethum graveolens ;;;
11;grote engelwortel ;Angelica archangelica ;;;
12;kervel ;Anthriscus cerefolium ;;;
13;Fluitekruid;Anthriscus sylvestris ;geen kruid, maar eerder onkruid, er zijn ook cultivars voor de tuin. ;;
14;mierikswortel ;Armoracia rusticana ;;;
15;citroenkruid ;Artemisia abrotanum ;;;
16;absinth ;Artemisia absinthum ;;;
17;(Russische) dragon;Artemisia dracunculoides ;Mist de smaak en geur van franse dragon. Te mijden. ;;
18;(Franse) dragon ;Artemisia dracunculus ;;;
19;komkommerkruid ;Borago officinalis ;;;
20;bergsteentijm ;Clinopodium nepeta;;;
21;goudsbloem ;Calendula officinalis ;;;
22;karwij ;Carum carvi ;;;
23;pyrethrum ;Chrysanthemum cinerariifolium (syn. Pyrethrum cineraiifolium) ;;;
24;koriander ;Coriandrum sativum ;;;
25;Vingerhoedskruid;Digitalis purpurea ;Opgelet zwaar giftig! ;;
26;doorlevende venkel ;Foeniculum vulgare ;;;
27;bosaardbei ;Fragaria vesca ;;;
28;kleefkruid;Galium aparine ;Wordt als onkruid ;;
29;onze-lieve-vrouw-bedstro ;Galium odoratum;;;
30;kerrieplant ;Helichrysum italicum ;;;
31;hop ;Humulus lupulus ;;;
32;sint-janskruid ;Hypericum perforatum ;;;
33;hyssop ;Hyssopus officinalis ;;;
34;jeneverbes ;Juniperus communis ;;;
35;laurier ;Laurus nobilis ;;;
36;lavendel ;Lavandula angustifolia, syn. L. officinalis ;;;
37;lavas ;Levisticum officinale ;;;
38;citroenmelisse ;Melissa officinale ;;;
39;groene munt ;Mentha spicata ;;;
40;pepermunt ;Mentha x piperita;;;
41;roomse kervel ;Myrrhis odorata ;;;
42;Mirte ;Myrtus communis ;;;
43;kattenkruid ;Nepeta x faassenii ;;;
44;zwarte komijn ;Nigella sativa ;;;
45;bazielkruid, basilicum ;Ocimum basilicum;;;
46;wilde marjolein ;Origanum vulgare ;;;
47;oregano ;Origanum x onites ;;;
48;geurgeranium ;Pelargonium spp. ;;;
49;krulpeterselie ;Petroselinum crispum ;;;
50;wortelpeterselie ;Petroselinum tuberosum ;;;
51;rozemarijn ;Rosmarinus officinalis ;;;
52;zuring ;Rumex acetosa ;;;
53;wijnruit ;Ruta graveolens ;;;
54;ananassalie ;Salvia elegans ;;;
55;salie ;Salvia officinalis ;;;
56;pimpernel ;Sanguisorba minor ;;;
57;heiligenbloem ;Santolina chamaecyparissus ;;;
58;eenjarig bonenkruid ;Satureja hortensis ;;;
59;overblijvend bonenkruid ;Satureja montana ;;;
60;smeerwortel ;Symphytum officinale ;;;
61;afrikaantje ;Tagetes patula ;;;
62;boerenwormkruid ;Tanacetum vulgare ;;;
63;kruiptijm ;Thymus praecox ;;;
64;tijm ;Thymus vulgaris ;;;
65;citroentijm ;Thymus x citriodorus ;;;
66;oost-indische kers ;Tropaeolum majus ;;;
67;valeriaan ;Valeriana officinalis ;;;
68;ijzerhard ;Verbena officinalis ;;;
