Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
1;Biet;Beta vulgaris;Speciale wortels: Knolvormig (soort penwortel).;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1374571674_beta-vulgaris-main.jpg;1374571674_beta-vulgaris-main.jpg
2;Radijs;Raphanus sativus subsp. Sativus;Speciale wortels: Knolvormig (soort penwortel).;;
3;Dahlia;Dahlia;Speciale wortels: Wortelknol. Bestaat uit opgezwollen bijwortels;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/dahelp_1.jpg;dahelp_1.jpg
4;Klimop;Hedera helix;Speciale wortels: Hechtwortels om te kunnen klimmen;;
5;Gatenplant;Monstera deliciosa;Speciale wortels: Luchtwortels - Nemen water op uit de lucht;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Monsteradeliciosa.jpeg;Monsteradeliciosa.jpeg
6;Moerascipres;Taxodium distichum;Speciale wortels: Ademwortels - Steken boven water uit en zorgen voor gasuitwisseling in drassige, zuurstofarme bodems.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Taxodium_distichum_foliage_and_roots.JPG;Taxodium_distichum_foliage_and_roots.JPG
7;Maretak;Viscum album;Speciale wortels: Zuigwortels van Viscum album (maretak) dringen in de gastheerplant om water en voedingsstoffen op te nemen. De zijknoppen lopen tegelijk uit: dichasiale vertakking.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Mistletoe_in_White_Poplar_1.jpg;Mistletoe_in_White_Poplar_1.jpg
8;Kapokboom;Ceiba pentandra;Speciale wortels: Plankwortels die stabiliteit bieden voor de enorme stam (op losse dunne ondergrond) en voedingsstoffen opnemen uit de oppervlakkige bodemlagen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Ceiba pentandra-9640.5503.jpg;Ceiba pentandra-9640.5503.jpg
9;Fladderiep;Ulmus laevis;Speciale wortels: Heeft op plankwortels lijkende uitgroeiingen aan de stambasis van oudere bomen;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Ulmus_Laevis_root.jpg;Ulmus_Laevis_root.jpg
10;Prei;Allium porrum;Speciale wortels: Adventief wortels - wortels die ontstaan uit een knop én bij veel planten uit de Poaceae (Grassenfamilie) waarbij de wortels gebundeld zijn aan de basis van de stengen/stam.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/prei.jpeg;prei.jpeg
11;Chinees klokje;Forsythia;"Heeft duidelijk zichtbare lenticellen (kurkachtige bobbeltjes ""ademhalingsorganen"" waardoor gassen in en uit de stengel kunnen gaan)";https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/9b5c14e9ea41d51432713835d49ca8144876424d_52ec2343332fef78a64d2e3cdb084c59e300a0d0.jpg;9b5c14e9ea41d51432713835d49ca8144876424d_52ec2343332fef78a64d2e3cdb084c59e300a0d0.jpg
12;Paardenkastanje;aesculus hippocastanum;;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/aesculus_hippocastanum_7.jpg;aesculus_hippocastanum_7.jpg
13;Grote brandnetel;Urtica dioica;Heeft met gif gevulde brandharen op de stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/7762d430eedd6fa1f167ff44962b11824424edb5.jpg;7762d430eedd6fa1f167ff44962b11824424edb5.jpg
14;Asperge;Asparagus officinalis subsp. Officinalis;Vlezige stengel die gebruikt kan worden als voedsel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/798210.jpg;798210.jpg
15;Riet;Phragmites australis;Holle stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Phragmites_australis_-_NASA_Tracks_an_Environmental_Invader_(48049936657).jpg;Phragmites_australis_-_NASA_Tracks_an_Environmental_Invader_(48049936657).jpg
16;Bamboe;Bambuseae;Holle stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Starr_070906-8504_Bambusa_textilis.jpg;Starr_070906-8504_Bambusa_textilis.jpg
17;Reuzenbalsemien;Impatiens glandulifera;Holle stengel. Invasieve exoot;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/9591c852-bd04-48a1-8632-858c001af5d9_Lead foto Reuzenbalsemien_Rhenen_CdG.JPG;9591c852-bd04-48a1-8632-858c001af5d9_Lead foto Reuzenbalsemien_Rhenen_CdG.JPG
18;Springzaad;Impatiens;Je kan het mergkanaal zien lopen bij de jong doorgesneden stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Impatiens_scapiflora.jpg;Impatiens_scapiflora.jpg
19;Vlier;Sambucus nigra;Je kan het mergkanaal zien lopen bij de jong doorgesneden stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/sambucus-nigra-planting-stock-1.jpg;sambucus-nigra-planting-stock-1.jpg
20;Vlas;Linum usitatissimum;Je kan het mergkanaal zien lopen bij de jong doorgesneden stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/linum-usitatissimum-ha-atal.jpg;linum-usitatissimum-ha-atal.jpg
21;Zwarte populier;Populus nigra;Vijfstralig merg;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/populus-nigra.jpg;populus-nigra.jpg
22;Zwarte walnoot;Juglans nigra;Laddervormig merg;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/5214910_orig.jpg;5214910_orig.jpg
23;Muur;Stellaria;Liggende stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Stellaria-holostea_web.jpg;Stellaria-holostea_web.jpg
24;Glaskruid;Parietaria judaica;Opstijgende stengel (onderste deel van de stengel ligt op de grond en enkel de top richt zich op);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/4091275.jpg;4091275.jpg
25;Walstro;Galium saxatile;Stengels met enkele bladeren zijn liggend, en de stengels met bloemen opstijgend.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/6667845c61-galium-saxatile-subsp-saxatile-2-follas-dos-tallos-fertiles-distintas-dos-esteriles.jpg;6667845c61-galium-saxatile-subsp-saxatile-2-follas-dos-tallos-fertiles-distintas-dos-esteriles.jpg
26;Zilverschoon;Argentina anserina;Heeft een op de grond liggende stengel die op de knopen wortels ontwikkelt.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/argentina-anserina-ha-jnovak.jpg;argentina-anserina-ha-jnovak.jpg
27;Kruipende boterbloem;Ranunculus repens;Heeft een op de grond liggende stengel die op de knopen wortels ontwikkelt.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Ranunculus-repens_Bornand-Christophe_2004-05-02_14377.jpg;Ranunculus-repens_Bornand-Christophe_2004-05-02_14377.jpg
28;Aardbei;Fragaria spp.;Kruipende stengel die zich bovengronds bevindt (stoloon);;
29;Hanggeranium;Pelargonium peltatum;Heeft een hangende stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Pelargonium_peltatum_flower.jpg;Pelargonium_peltatum_flower.jpg
30;Druif;Vitis vinifera;De plant werkt zich omhoog met stangelranken (klimende stengel);;
