Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
1;parasolden;Pinus pinea;De Pinus pinea (Parasolden) is een mediterrane dennenboom met een opvallende parapluvormige kroon en grote, eetbare pijnboompitten. Kenmerkend zijn de dikke, oranje-bruine schors en de voorkeur voor zandige of goed doorlatende bodems.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/pinus-pineea-3edwa.jpg;pinus-pineea-3edwa.jpg
2;gewone zilverspar;Abies alba;Abies alba, of zilverspar, is een grote, winterharde naaldboom met donkergroene, platte naalden en gladde, grijze schors. De plant groeit van nature in bergachtige streken van Europa, zoals de Alpen en de Pyreneeën. Kenmerkend zijn de opstaande kegels die zich aan de takken bevinden en de sterke, rechtopstaande groei. De zilverspar wordt vaak gebruikt voor houtproductie en als kerstboom, en hij gedijt goed in koelere, vochtige klimaten.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1379002.jpg;1379002.jpg
3;zeeden;Pinus pinaster;Pinus pinaster, of zeeden, is een grote den met lange, stijve naalden en grote kegels. Hij groeit van nature in het westelijke Middellandse Zeegebied, vaak op droge, zandige bodems.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/pinus-pinaster.jpg;pinus-pinaster.jpg
4;grove den;Pinus sylvestris;De Pinus sylvestris (Grove den) is een inheemse naaldboom met een roodbruine, schilferige stam en blauwgroene naalden. Kenmerkend is zijn aanpassingsvermogen aan arme zandgronden en zijn belangrijke rol in Europese naaldbossen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/cebff9c778f04ca11829c8ff2ab52a0a.jpg;cebff9c778f04ca11829c8ff2ab52a0a.jpg
5;bergden;Pinus mugo subsp. uncinata;Pinus mugo ssp. uncinata, of bergden, is een lage, struikachtige den met korte, donkere naalden. Hij groeit van nature in de berggebieden van Europa.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/PINU_MUGOHEIDE_W30400.jpg;PINU_MUGOHEIDE_W30400.jpg
6;zwarte den;Pinus nigra;Pinus nigra, of zwarte den, is een grote naaldboom met lange, donkergroene naalden en grote kegels. Hij groeit van nature in Zuid-Europa en het Middellandse Zeegebied.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/pinus_nigra_subsp__nigra-1.jpg;pinus_nigra_subsp__nigra-1.jpg
7;alpenden;Pinus cembra;Pinus cembra, of alpenden, is een langzame groeier met naalden in bundels van vijf en rechtopstaande kegels. Hij groeit van nature in de Alpen en Karpaten.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/20141103181927-619e2d56.jpg;20141103181927-619e2d56.jpg
8;fijnspar;Picea abies;Picea abies, of fijnspar, is een grote naaldboom met hangende kegels en donkergroene naalden. Hij groeit van nature in Noord- en Midden-Europa, vooral in bergachtige gebieden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/2048x1365-Picea-abies-SEO-GettyImages-1350602364-c93eb24.jpg;2048x1365-Picea-abies-SEO-GettyImages-1350602364-c93eb24.jpg
9;aleppoden;Pinus halepensis;Pinus halepensis, of aleppoden, is een snelgroeiende den met lange naalden en kleine kegels. Hij groeit van nature in het Middellandse Zeegebied, vooral op droge, rotsachtige bodems.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/1.Pinus_halepensis_cones.jpg;1.Pinus_halepensis_cones.jpg
10;europese lariks;Larix decidua;Larix decidua, of Europese lariks, is een loofverliezende naaldboom met zachte, groene naalden die in de herfst goudgeel worden. Hij groeit van nature in de Alpen en Karpaten.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/EuropeseBomen/Unknown.jpeg;Unknown.jpeg
11;fijnspar;Picea abies;Picea abies, ook wel Noorse spar genoemd, is een grote, snelgroeiende naaldboom met donkergroene naalden. Hij groeit van nature in Noord- en Midden-Europa, voornamelijk in bergachtige gebieden en boreale bossen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Plantendril/norway-spruce-1468227_1280.jpg;norway-spruce-1468227_1280.jpg
12;alpenden;Pinus cembra;Bladschijf: Naaldvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Swiss_pine_(Pinus_cembra)_'Columnaris'_cone.jpg;Swiss_pine_(Pinus_cembra)_'Columnaris'_cone.jpg
13;fijnspar;Picea abies;Bladschijf: Naaldvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/220px-Picea_abies_Nadelkissen.jpg;220px-Picea_abies_Nadelkissen.jpg
14;den;Pinus;Eenhuizig: Mannelijke en vrouwelijke voortplantingsorgainen op dezelfde plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bloemen/Pinus_nigra_-_Köhler–s_Medizinal-Pflanzen-242.jpg;Pinus_nigra_-_Köhler–s_Medizinal-Pflanzen-242.jpg
